
REPORTE DE VENTAS TOTALES           Fecha: 01/05/2012 03:36:35 p.m.

idVenta,idEmpleado,Monto
1,15,5555.0000
2,15,700.0000
3,15,500.0000
4,15,100.0000
5,15,300.0000
6,15,400.0000
7,15,728.0000
8,15,500.0000
9,15,400.0000
10,15,500.0000
11,15,500.0000
12,15,600.0000
13,15,500.0000
14,15,500.0000
15,15,600.0000
16,15,500.0000
17,15,400.0000
18,15,600.0000
19,15,600.0000
20,15,600.0000
21,15,500.0000
22,15,500.0000
23,15,500.0000
24,15,600.0000
25,15,500.0000
26,15,500.0000
27,15,500.0000
28,15,971.0000
29,15,1500.0000
30,15,458.0000
31,15,900.0000
32,15,700.0000
33,15,700.0000
34,15,700.0000
35,15,1300.0000
36,15,1112.0000
37,15,1200.0000
38,15,1200.0000
39,15,500.0000
40,15,1100.0000
41,15,635.0000
42,15,656.0000
43,15,600.0000
44,15,642.0000
45,15,1035.0000
46,15,700.0000
47,15,735.0000
48,15,1128.0000
49,15,600.0000
50,15,443.0000
51,15,500.0000
52,15,900.0000
53,15,800.0000
54,15,800.0000
55,15,821.0000
56,15,635.0000
57,15,628.0000
58,15,535.0000
59,15,535.0000
60,15,800.0000
61,15,800.0000
62,15,800.0000
63,15,542.0000
64,15,442.0000
65,15,442.0000
66,17,1334.0000
67,17,735.0000
68,17,735.0000
69,17,513.0000
70,17,513.0000
71,17,575.0000
72,17,535.0000
73,17,93.0000
74,17,369.0000
75,17,2900.0000
76,17,2900.0000
77,17,2900.0000
,,
